Student ID,Outcome,Reason,Job Seeking,Previous Salary,New Salary,Salary Delta,Filtered New Salary,Filtered Salary Delta,Delta when Below 60K,Repeated a Module,Filtered Repeated,,Gender Identity,Filtered Gender,Racial Identity,Filtered Racial,,Veteran Status,Filtered Veteran,,Highest Degree,Filtered W/O Degree,,Job Hunt Length,Filtered Job Hunt,,Job Title,Filtered Job Title
390,graduated,,Yes,"$26,000","$51,000","$25,000","$51,000","$25,000","$25,000",None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Web Developer,Web Developer
426,graduated,,Yes,"$22,000","$65,000","$43,000","$65,000","$43,000","$43,000",None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Front-end engineer,Front-end engineer
455,graduated,,Yes,"$52,000","$70,000","$18,000","$70,000","$18,000","$18,000",None,None,,Male,Male,White,White,,No,No,,Master's degree,Master's degree,,0-30 days,0-30 days,,Software Engineer,Software Engineer
459,graduated,,Yes,"$40,000","$68,000","$28,000","$68,000","$28,000","$28,000",None,None,,Male,Male,Asian/Pacific Islander,Asian/Pacific Islander,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Software Developer,Software Developer
462,graduated,,Yes,,,,,,,,,,Male,Male,White,White,,,,,,,,Exempt,Exempt,,,
467,graduated,,Yes,"$42,000",,,,,,None,None,,Male,Male,Other,Other,,No,No,,Bachelor's degree,Bachelor's degree,,60-90,60-90,,Junior Software Engineer,Junior Software Engineer
476,graduated,,Yes,"$15,000",,,,,,None,None,,Female,Female,White,White,,No,No,,Master's degree,Master's degree,,Exempt,Exempt,,Software developer,Software developer
490,did not finish,academic drop out,,,,,,,,,,,Female,,White,,,,,,,,,,,,,
491,graduated,,Yes,"$2,000","$38,000","$36,000","$38,000","$36,000","$36,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,61-90 days,61-90 days,,Junior Developer,Junior Developer
494,graduated,,Yes,"$32,000","$60,000","$28,000","$60,000","$28,000","$28,000",Repeated one module,Repeated one module,,Male,Male,Other,Other,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,QA Engineer,QA Engineer
497,graduated,,Yes,"$18,000","$75,000","$57,000","$75,000","$57,000","$57,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Software Engineer,Software Engineer
503,did not finish,academic drop out,,,,,,,,,,,Female,,White,,,,,,,,,,,,,
506,graduated,,Yes,"$23,000","$80,000","$57,000","$80,000","$57,000","$57,000",None,None,,Male,Male,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,120+ days,120+ days,,Software Engineer,Software Engineer
509,graduated,,Yes,,"$78,000","$78,000","$78,000","$78,000","$78,000",None,None,,Male,Male,Hispanic or Latino,Hispanic or Latino,,No,No,,Bachelor's degree,Bachelor's degree,,31-60 days,31-60 days,,Software Engineer,Software Engineer
510,did not finish,employed,Yes,"$42,000","$71,000","$29,000",,,"$29,000",None,,,Male,,White,,,No,,,Some additional training; incomplete degree or certification,,,0-30 days,,,Full Stack Developer,
519,graduated,,Yes,"$80,000","$90,000","$10,000","$90,000","$10,000",,None,None,,Female,Female,White,White,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Software Engineer,Software Engineer
521,graduated,,Yes,"$57,000","$68,000","$11,000","$68,000","$11,000","$11,000",Repeated more than one module,Repeated more than one module,,Female,Female,Black or African American,Black or African American,,No,No,,Master's degree,Master's degree,,31-60 days,31-60 days,,Junior Developer,Junior Developer
525,graduated,,Yes,"$20,000","$75,000","$55,000","$75,000","$55,000","$55,000",None,None,,Female,Female,Asian/Pacific Islander,Asian/Pacific Islander,,No,No,,Bachelor's degree,Bachelor's degree,,0-30 days,0-30 days,,Software Developer II,Software Developer II
